perfil_id,endorsement_count,name,agrupamento
21,7,Microsoft Project,Gestão / Administração
21,6,Liderança de equipe,Comportamento / Social
21,6,Estratégia empresarial,Gestão / Administração
21,5,Project Management,Gestão / Administração
21,5,Inglês,Idiomas
21,5,Gestão de projetos,Gestão / Administração
21,5,Negociação,Negócios / Marketing
21,4,Gestão,Gestão / Administração
21,3,Gestão de obras,Gestão / Administração
21,3,Management,Gestão / Administração
21,3,Business Strategy,Negócios / Marketing
21,3,Planejamento de projetos,Gestão / Administração
21,3,Engenharia civil,Engenharia
21,3,Microsoft PowerPoint,Informática / Softwares
21,3,Planejamento empresarial,Gestão / Administração
21,3,Planejamento estratégico,Gestão / Administração
21,3,Microsoft Word,Informática / Softwares
21,3,Engenharia de projetos,Engenharia
21,2,Sales Management,Negócios / Marketing
21,2,Estratégias de marketing,Negócios / Marketing
21,2,Gestão de contratos,Gestão / Administração
22,10,Atendimento ao Cliente,Negócios / Marketing
22,8,Planejamento estratégico,Gestão / Administração
22,7,Liderança,Comportamento / Social
22,6,Organização de Eventos,Gestão / Administração
22,5,Negociação,Negócios / Marketing
22,3,Microsoft Excel,Informática / Softwares
22,3,Adobe Photoshop,Informática / Softwares
22,3,Marketing,Negócios / Marketing
22,2,Formação de equipes,Gestão / Administração
22,2,Adobe Illustrator,Informática / Softwares
22,2,Marketing digital,Negócios / Marketing
22,1,Net Promoter Score,TI / Desenvolvedor
23,3,Design gráfico,Design / Artes
23,3,Marketing,Negócios / Marketing
23,2,Adobe Photoshop,Informática / Softwares
23,1,Escrita,Oratória / Escrita
23,Não Informado,Adobe Illustrator,Informática / Softwares
23,Não Informado,Ilustração,Design / Artes
23,Não Informado,Adobe After Effects,Informática / Softwares
24,1,Social Computing,TI / Desenvolvedor
24,2,Data Analysis,TI / Desenvolvedor
24,1,Complex Networks,TI / Desenvolvedor
24,2,Software Development,TI / Desenvolvedor
24,1,Web Development,TI / Desenvolvedor
24,1,Software Documentation,TI / Desenvolvedor
24,1,Python,Linguagem de Programação
24,1,R,Linguagem de Programação
24,1,Ruby,Linguagem de Programação
24,1,C#,Linguagem de Programação
24,1,PHP,Linguagem de Programação
24,1,C,Linguagem de Programação
24,2,C++,Linguagem de Programação
24,1,Ruby on Rails,Linguagem de Programação
24,1,.NET,Linguagem de Programação
24,1,ASP.NET,Linguagem de Programação
24,1,HTML,Linguagem de Programação
24,1,CSS,Informática / Softwares
24,1,JavaScript,Linguagem de Programação
24,1,JQuery,Informática / Softwares
24,1,XML,Linguagem de Programação
24,1,Git,Informática / Softwares
24,1,Web Hosting,TI / Desenvolvedor
24,1,Infrastructure Management,Gestão / Administração
24,1,Windows,Informática / Softwares
24,1,Linux,Informática / Softwares
24,1,MySQL,Informática / Softwares
24,1,Microsoft SQL Server,Informática / Softwares
24,1,Network Protocols,TI / Desenvolvedor
24,1,Cloud Computing,TI / Desenvolvedor
24,1,Customer Support,Negócios / Marketing
24,1,Teamwork,Gestão / Administração
24,1,Fast Learning,Comportamento / Social
24,1,Proactivity,Comportamento / Social
24,2,.NET Framework,Informática / Softwares
29,48,Scrum,Gestão / Administração
29,43,Software Development,TI / Desenvolvedor
29,33,Mobile Applications,Informática / Softwares
29,2,Project Coordination,Gestão / Administração
29,32,Android,Informática / Softwares
29,31,Qt,Informática / Softwares
29,21,Software Engineering,Engenharia
29,18,C,Linguagem de Programação
29,17,Java,Linguagem de Programação
29,15,Open Source,Linguagem de Programação
29,17,C++,Linguagem de Programação
29,17,Git,Informática / Softwares
29,15,Linux,Informática / Softwares
29,11,JavaScript,Linguagem de Programação
29,8,UML,Linguagem de Programação
29,5,Application Development,TI / Desenvolvedor
29,8,Python,Linguagem de Programação
29,6,Team Leadership,Gestão / Administração
29,3,AJAX,Linguagem de Programação
29,4,Computer Science,TI / Desenvolvedor
29,7,Subversion,Informática / Softwares
29,8,Design Patterns,Design / Artes
29,3,WebKit,TI / Desenvolvedor
29,3,Mozilla,Informática / Softwares
29,3,JSON,Linguagem de Programação
29,3,Information Retrieval,TI / Desenvolvedor
29,2,Maemo,Informática / Softwares
29,2,OOP,Linguagem de Programação
29,7,Agile Methodologies,Gestão / Administração
29,1,GTK,Informática / Softwares
29,1,Linux development,Informática / Softwares
29,2,Mobile Devices,Informática / Softwares
29,Não Informado,HTML/XML,Linguagem de Programação
29,1,Data Extraction,TI / Desenvolvedor
29,Não Informado,Web Mining,TI / Desenvolvedor
29,1,Product Development,Gestão / Administração
29,1,Project Planning,Gestão / Administração
29,1,Microsoft Project,Gestão / Administração
29,4,Software Project Management,Gestão / Administração
29,1,Project Estimation,Gestão / Administração
30,Não Informado,Marketing digital,Negócios / Marketing
30,Não Informado,Desenho mecânico,Design / Artes
30,Não Informado,SolidWorks,Informática / Softwares
30,Não Informado,Microsoft Project,Gestão / Administração
31,31,JavaScript,Linguagem de Programação
31,9,Node.js,Informática / Softwares
31,28,PHP,Linguagem de Programação
31,29,MySQL,Informática / Softwares
31,Não Informado,React.js,Linguagem de Programação
31,Não Informado,Python,Linguagem de Programação
31,Não Informado,Docker,Informática / Softwares
31,21,HTML,Linguagem de Programação
31,4,SASS,Linguagem de Programação
31,25,jQuery,Informática / Softwares
31,22,CSS,Informática / Softwares
31,1,Git,Informática / Softwares
31,16,Web Design,TI / Desenvolvedor
31,Não Informado,WebRTC,Informática / Softwares
31,Não Informado,Apache Cordova,Informática / Softwares
31,Não Informado,Electron,Informática / Softwares
31,2,WebSockets,Informática / Softwares
31,16,Java,Linguagem de Programação
31,Não Informado,Gulp.js,Informática / Softwares
31,Não Informado,GruntJS,Informática / Softwares
31,1,NoSQL,Informática / Softwares
31,7,PostgreSQL,Informática / Softwares
31,1,SEO,TI / Desenvolvedor
31,13,JSON,Linguagem de Programação
31,6,XML,Linguagem de Programação
31,4,OOP,Linguagem de Programação
31,6,Software Engineering,Engenharia
31,Não Informado,Scrum,Gestão / Administração
31,5,Web Services,Informática / Softwares
31,4,Facebook API,Informática / Softwares
31,2,C++,Linguagem de Programação
31,2,C,Linguagem de Programação
31,6,HTML 5,Linguagem de Programação
31,17,AJAX,Linguagem de Programação
31,3,Photoshop,Informática / Softwares
31,3,UML,Linguagem de Programação
31,4,Microsoft SQL Server,Informática / Softwares
31,2,WordPress,Informática / Softwares
31,1,Linux Server,Informática / Softwares
31,1,Apache,Informática / Softwares
31,1,Shell Scripting,Informática / Softwares
31,3,Delphi,Informática / Softwares
31,1,Material Design,Design / Artes
32,9,Estratégia empresarial,Gestão / Administração
32,5,Planejamento empresarial,Gestão / Administração
32,4,Liderança de equipe,Comportamento / Social
32,4,Negociação,Negócios / Marketing
32,1,Cartões de crédito,Negócios / Marketing
32,1,Português,Idiomas
32,1,Gestão de vendas,Negócios / Marketing
32,Não Informado,Credit Cards,Linguagem de Programação
32,Não Informado,PMI,Gestão / Administração
32,Não Informado,Business Planning,Negócios / Marketing
32,Não Informado,Negotiation,Negócios / Marketing
32,Não Informado,DOS,Informática / Softwares
32,Não Informado,Portuguese,Idiomas
32,Não Informado,COBIT,TI / Desenvolvedor
32,Não Informado,Business Strategy,Negócios / Marketing
32,Não Informado,Sales Management,Negócios / Marketing
32,Não Informado,Team Leadership,Gestão / Administração
32,Não Informado,Portfolio Management,Gestão / Administração
33,34,User Interface Design,TI / Desenvolvedor
33,31,Interaction Design,Design / Artes
33,28,Information Architecture,TI / Desenvolvedor
33,27,User Experience,TI / Desenvolvedor
33,14,CSS,Informática / Softwares
33,12,Web Development,TI / Desenvolvedor
33,10,Agile Project Management,Gestão / Administração
33,11,Front-end,TI / Desenvolvedor
33,11,Usability Testing,TI / Desenvolvedor
33,3,A/B Testing,TI / Desenvolvedor
33,6,HTML,Linguagem de Programação
33,7,Graphic Design,Design / Artes
33,4,Prototyping,TI / Desenvolvedor
33,5,JavaScript,Linguagem de Programação
33,5,PHP,Linguagem de Programação
33,2,Git,Informática / Softwares
33,4,Visual Design,Informática / Softwares
33,2,Photoshop,Informática / Softwares
33,6,User Experience Design,TI / Desenvolvedor
33,3,Front-end Development,TI / Desenvolvedor
34,8,Product Management,Gestão / Administração
34,14,Mobile Devices,Informática / Softwares
34,15,Web Development,TI / Desenvolvedor
34,10,Agile Methodologies,Gestão / Administração
34,7,Android Development,Informática / Softwares
34,3,Mobile Application Development,Informática / Softwares
34,11,Java,Linguagem de Programação
34,5,Distributed Systems,TI / Desenvolvedor
34,5,Ruby on Rails,Linguagem de Programação
